t_tot_center,best_t_tot,best_amp,best_w_d,best_value,amp_idx,wd_idx,amp_lower,amp_upper,w_d_lower,w_d_upper,t_tot_lower,t_tot_upper
60.0,58.75000245094052,13.330598532887766,0.002988072735613138,0.04223741741616699,1,0,10.666666666666666,13.333333333333332,0.0028,0.00314,58.75,61.25
57.5,57.084210446511555,19.249091459604927,0.0039008192589026214,0.0004550850260612009,4,3,18.666666666666664,21.333333333333332,0.0038199999999999996,0.00416,56.25,58.75
50.0,48.75001067132132,13.842806522773948,0.003626510456934917,0.0021698611417350893,2,2,13.333333333333332,16.0,0.0034799999999999996,0.0038199999999999996,48.75,51.25
72.5,71.25000000063694,10.504365428387983,0.0034799999991328144,0.850230981849772,0,1,8.0,10.666666666666666,0.00314,0.0034799999999999996,71.25,73.75
85.0,83.75000009591413,8.439384770813907,0.0034800001527126832,1.6096703888418464,0,2,8.0,10.666666666666666,0.0034799999999999996,0.0038199999999999996,83.75,86.25
97.5,96.25000021920629,13.333333333305912,0.003921963572751215,1.4414436600832756,1,3,10.666666666666666,13.333333333333332,0.0038199999999999996,0.00416,96.25,98.75
107.5,108.55662860501828,9.960130646800401,0.004259247447889563,1.7307630956800026,0,4,8.0,10.666666666666666,0.00416,0.0045,106.25,108.75
105.0,103.75001224240421,15.956664027215279,0.002882290695480357,0.6338123153279221,2,0,13.333333333333332,16.0,0.0028,0.00314,103.75,106.25
117.5,116.4555876128414,19.03728696758209,0.0038812611870314533,0.5011772872924067,4,3,18.666666666666664,21.333333333333332,0.0038199999999999996,0.00416,116.25,118.75
75.0,74.91113877349385,15.782539513234626,0.00424975149995455,0.31835225507580533,2,4,13.333333333333332,16.0,0.00416,0.0045,73.75,76.25
60.0,59.65153305432319,21.483784985757147,0.004172053779737321,0.0014665083273367185,5,4,21.333333333333332,24.0,0.00416,0.0045,58.75,61.25
110.0,108.75000818742156,10.666666589414067,0.0036445341835444336,1.6712641694159385,0,2,8.0,10.666666666666666,0.0034799999999999996,0.0038199999999999996,108.75,111.25
70.0,69.57891857845915,18.51220482343486,0.004327742303392914,0.05691757947579226,3,4,16.0,18.666666666666664,0.00416,0.0045,68.75,71.25
65.0,64.69505273330148,19.013411431275827,0.004191091180673544,0.007630942316115901,4,4,18.666666666666664,21.333333333333332,0.00416,0.0045,63.75,66.25
80.0,78.75001881402454,13.190850248778581,0.003759194213311012,0.5774510942541375,1,2,10.666666666666666,13.333333333333332,0.0034799999999999996,0.0038199999999999996,78.75,81.25
107.5,106.25000000008026,11.361465647494223,0.0038125523313832853,1.5663575814968558,1,2,10.666666666666666,13.333333333333332,0.0034799999999999996,0.0038199999999999996,106.25,108.75
92.5,93.13178774483062,10.666666666666632,0.004159999999999859,1.6210227741960779,0,3,8.0,10.666666666666666,0.0038199999999999996,0.00416,91.25,93.75
100.0,99.60988062479767,23.884747001213793,0.00410489090622877,0.012540190580793992,5,3,21.333333333333332,24.0,0.0038199999999999996,0.00416,98.75,101.25
55.0,55.1063308599497,16.829897854920176,0.0036225309409495094,0.00022962264313623488,3,2,16.0,18.666666666666664,0.0034799999999999996,0.0038199999999999996,53.75,56.25
65.0,63.75470590168663,10.666262286362105,0.0030015100199289285,0.3580348230091258,0,0,8.0,10.666666666666666,0.0028,0.00314,63.75,66.25
52.5,53.749994886753775,21.422969164517347,0.003853875985606842,0.009452428202643946,5,3,21.333333333333332,24.0,0.0038199999999999996,0.00416,51.25,53.75
112.5,112.98904552869406,16.750455498073553,0.003129947809840767,0.9453334396410913,3,0,16.0,18.666666666666664,0.0028,0.00314,111.25,113.75
110.0,109.56993343979147,10.666666666681516,0.004160000000010399,1.7612766831317024,1,4,10.666666666666666,13.333333333333332,0.00416,0.0045,108.75,111.25
