t_tot_center,best_t_tot,best_amp,best_w_d,best_ramp,best_value,amp_idx,wd_idx,ramp_idx,amp_lower,amp_upper,w_d_lower,w_d_upper,ramp_lower,ramp_upper,t_tot_lower,t_tot_upper
100.0,100.50324782184339,19.12058566286269,0.003859818138954815,0.12996304415869359,0.0012195255386892102,4,3,0,18.666666666666664,21.333333333333332,0.0038199999999999996,0.00416,1e-10,0.5,98.75,101.25
75.0,74.60968862668821,18.121903032799167,0.003138492437472115,0.2520775569867225,0.00016205339266910985,3,0,0,16.0,18.666666666666664,0.0028,0.00314,1e-10,0.5,73.75,76.25
100.0,100.02169402963517,21.391102693223115,0.00329105851672663,0.14200015122250587,0.0019335160995649953,5,1,0,21.333333333333332,24.0,0.00314,0.0034799999999999996,1e-10,0.5,98.75,101.25
55.0,56.24991369410872,21.40012636046421,0.0036845128878838,0.30083901897419046,0.038352608377706134,5,2,0,21.333333333333332,24.0,0.0034799999999999996,0.0038199999999999996,1e-10,0.5,53.75,56.25
107.5,107.44496762636427,21.495197046796182,0.0034667112008996306,0.0514484019948796,0.07087298600059753,5,1,0,21.333333333333332,24.0,0.00314,0.0034799999999999996,1e-10,0.5,106.25,108.75
77.5,78.74999923430885,13.283807216367194,0.003819999978408901,0.122557919716212,0.2242260516643726,1,2,0,10.666666666666666,13.333333333333332,0.0034799999999999996,0.0038199999999999996,1e-10,0.5,76.25,78.75
62.5,62.25444092405047,16.283453477517117,0.0038324555978534527,0.25180413495487436,0.008631685346674928,3,3,0,16.0,18.666666666666664,0.0038199999999999996,0.00416,1e-10,0.5,61.25,63.75
90.0,91.027789448772,10.663686561879922,0.004159987790089698,0.0777820975010537,0.052887845094320235,0,3,0,8.0,10.666666666666666,0.0038199999999999996,0.00416,1e-10,0.5,88.75,91.25
97.5,97.18120346616465,21.50781159335939,0.003492347342005349,0.3488742299120858,0.05899018493987898,5,2,0,21.333333333333332,24.0,0.0034799999999999996,0.0038199999999999996,1e-10,0.5,96.25,98.75
105.0,105.00070264045532,21.575202838594617,0.003851497497268204,0.1547089621501647,0.0005929655579273702,5,3,0,21.333333333333332,24.0,0.0038199999999999996,0.00416,1e-10,0.5,103.75,106.25
52.5,52.7138186437909,18.679325624658173,0.0033650735589910627,0.48457684134639195,0.006489504155744874,4,1,0,18.666666666666664,21.333333333333332,0.00314,0.0034799999999999996,1e-10,0.5,51.25,53.75
92.5,93.60881737412171,16.56668692783146,0.003137240296544781,0.11171184093571217,0.17440046558415556,3,0,0,16.0,18.666666666666664,0.0028,0.00314,1e-10,0.5,91.25,93.75
77.5,78.74998026840153,12.997204328881828,0.004383860112583428,0.11433171259112695,0.09230476075502826,1,4,0,10.666666666666666,13.333333333333332,0.00416,0.0045,1e-10,0.5,76.25,78.75
80.0,80.18722389688827,19.14499479417584,0.003793663429734019,0.17119840100679803,0.026145993523115807,4,2,0,18.666666666666664,21.333333333333332,0.0034799999999999996,0.0038199999999999996,1e-10,0.5,78.75,81.25
97.5,98.74998653756835,15.924121773359465,0.003339404194235969,0.10231558037889103,0.09492017769966349,2,1,0,13.333333333333332,16.0,0.00314,0.0034799999999999996,1e-10,0.5,96.25,98.75
97.5,98.74907379265176,13.20958198049949,0.003364870379776902,0.08370335413295556,0.2511842296328942,1,1,0,10.666666666666666,13.333333333333332,0.00314,0.0034799999999999996,1e-10,0.5,96.25,98.75
